epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2706,0.31683,2.9092,1.01347,0.22522,0.93985,0.57871,0.56608,0.25054,2.818,0.52237,0.00029819,0.00029819,0.00029819
2,15.9737,0.26077,1.81517,0.94117,0.76533,0.65983,0.63885,0.62816,0.31033,3.71905,0.53413,0.000595239,0.000595239,0.000595239
3,21.588,0.24366,1.48859,0.92542,0.51514,0.86328,0.73325,0.68419,0.37057,2.23468,0.60099,0.000886288,0.000886288,0.000886288
4,27.1073,0.22866,1.28921,0.92132,0.84909,0.71429,0.80663,0.77587,0.27816,2.63113,0.54526,0.000882003,0.000882003,0.000882003
5,32.5322,0.21333,1.18448,0.90048,0.65347,0.88026,0.83113,0.82274,0.28496,1.589,0.5471,0.000873004,0.000873004,0.000873004
6,38.1092,0.19563,1.0861,0.90416,0.69089,0.77212,0.8548,0.84496,0.23424,1.40304,0.48867,0.000864004,0.000864004,0.000864004
7,43.7204,0.19183,1.0434,0.89969,0.75881,0.89314,0.82021,0.82021,0.16782,1.05616,0.43462,0.000855005,0.000855005,0.000855005
8,49.3893,0.18078,0.97114,0.8983,0.71894,0.79906,0.83213,0.8317,0.15496,1.22594,0.43692,0.000846006,0.000846006,0.000846006
9,54.9835,0.16873,0.87714,0.88997,0.91437,0.77706,0.9174,0.9174,0.23079,0.92046,0.47601,0.000837007,0.000837007,0.000837007
10,60.5154,0.16896,0.8219,0.88804,0.81705,0.87704,0.92653,0.91265,0.19524,0.985,0.47844,0.000828008,0.000828008,0.000828008
11,66.0883,0.16505,0.8402,0.88889,0.87024,0.88052,0.90273,0.90273,0.14784,0.86162,0.43901,0.000819009,0.000819009,0.000819009
12,71.8021,0.15982,0.74891,0.87969,0.77523,0.86686,0.91834,0.915,0.18746,1.03791,0.46339,0.00081001,0.00081001,0.00081001
13,77.5774,0.15743,0.77683,0.89389,0.81376,0.87745,0.8613,0.85998,0.20022,1.00419,0.46189,0.000801011,0.000801011,0.000801011
14,83.2546,0.15308,0.75229,0.88066,0.85549,0.96441,0.97263,0.96994,0.16106,0.71705,0.44163,0.000792012,0.000792012,0.000792012
15,89.1649,0.15076,0.74628,0.88468,0.83554,0.91631,0.95465,0.94462,0.19174,0.79976,0.4669,0.000783013,0.000783013,0.000783013
16,94.7437,0.14129,0.68473,0.88502,0.96617,0.97785,0.98827,0.98685,0.16737,0.51465,0.43257,0.000774013,0.000774013,0.000774013
17,100.265,0.13805,0.63788,0.86803,0.93305,0.8767,0.97276,0.97276,0.12841,0.66884,0.42629,0.000765014,0.000765014,0.000765014
18,105.877,0.1382,0.61689,0.8821,0.97111,0.96371,0.98756,0.98756,0.14707,0.51014,0.43739,0.000756015,0.000756015,0.000756015
19,111.67,0.13419,0.60091,0.87519,0.83919,0.93979,0.9689,0.9637,0.12831,0.95474,0.42291,0.000747016,0.000747016,0.000747016
20,117.235,0.1405,0.63275,0.88541,0.95717,0.95036,0.9862,0.98227,0.16389,0.58716,0.46121,0.000738017,0.000738017,0.000738017
21,123.098,0.13196,0.58495,0.89201,0.92494,0.96131,0.98687,0.98482,0.14044,0.52714,0.44216,0.000729018,0.000729018,0.000729018
22,129.296,0.13913,0.56665,0.88622,0.9802,0.87513,0.98025,0.97657,0.1449,0.51231,0.43323,0.000720019,0.000720019,0.000720019
23,139.525,0.12327,0.52458,0.87872,0.98845,0.99381,0.995,0.995,0.13936,0.39146,0.43072,0.00071102,0.00071102,0.00071102
24,150.839,0.12798,0.49764,0.87977,0.98891,0.99245,0.995,0.995,0.13484,0.36628,0.42384,0.000702021,0.000702021,0.000702021
25,158.745,0.12239,0.49438,0.88439,0.99357,1,0.995,0.995,0.1406,0.36508,0.42945,0.000693022,0.000693022,0.000693022
26,164.766,0.11633,0.50599,0.86667,0.9565,0.97389,0.99452,0.99452,0.11977,0.40258,0.42234,0.000684022,0.000684022,0.000684022
27,170.388,0.12129,0.4999,0.88367,0.98798,1,0.995,0.995,0.11271,0.38659,0.42028,0.000675023,0.000675023,0.000675023
28,176.063,0.11681,0.48475,0.8752,0.99073,0.99314,0.995,0.995,0.1342,0.36388,0.41875,0.000666024,0.000666024,0.000666024
29,181.742,0.11501,0.43021,0.87725,0.99162,0.99478,0.995,0.995,0.12743,0.33837,0.42577,0.000657025,0.000657025,0.000657025
30,187.488,0.11815,0.45175,0.88363,0.94366,0.98689,0.99199,0.99199,0.15154,0.40992,0.43632,0.000648026,0.000648026,0.000648026
31,193.564,0.11518,0.45785,0.87517,0.97596,0.99642,0.995,0.99375,0.15897,0.3598,0.42514,0.000639027,0.000639027,0.000639027
32,200.503,0.11043,0.42517,0.87903,0.99063,0.97435,0.99429,0.99026,0.14788,0.35319,0.42802,0.000630028,0.000630028,0.000630028
33,207.81,0.11071,0.43873,0.87907,0.99391,0.99781,0.995,0.995,0.13585,0.33242,0.42615,0.000621029,0.000621029,0.000621029
